#{"t_start": 1615654246.0842369, "env_id": "MountainCarContinuous-v0"}
r,l,t
93.910429,83,1006.026109
93.800053,70,1007.148321
93.615967,76,1008.379105
92.752684,94,1009.993247
93.27211,89,1011.645492
94.937423,82,1013.335057
93.776848,77,1014.526072
94.228033,80,1015.651465
93.714456,75,1017.373232
94.465652,82,1018.593114
94.689554,74,1020.37935
94.048991,73,1021.523062
93.755035,76,1022.748923
93.470392,82,1024.541769
95.110648,80,1025.661124
94.429919,78,1027.420954
93.608883,79,1028.533468
92.487788,119,1030.928836
93.630199,75,1032.033239
94.17636,72,1033.739099
93.558687,82,1034.87398
93.660791,106,1036.630775
94.813776,76,1038.509505
93.94299,72,1039.630975
93.592289,81,1041.391475
94.024197,72,1042.51043
93.829004,73,1043.600957
94.660589,74,1044.721207
93.796192,73,1046.330868
94.173699,76,1047.404721
90.612487,156,1050.185682
93.771702,81,1051.805875
93.937379,75,1052.912531
94.094815,89,1054.60851
94.740368,115,1056.480145
93.50272,81,1058.118361
93.002159,106,1059.813309
94.254239,78,1061.529883
94.398464,75,1062.755917
94.746278,73,1063.909987
93.954528,78,1065.674311
93.58591,89,1066.961967
93.60761,77,1068.605794
93.074771,89,1070.258205
95.066506,75,1071.347887
95.139329,74,1072.540209
93.52215,82,1074.188236
93.9998,71,1075.486376
95.290981,73,1076.600631
93.57391,78,1078.376821
91.861788,156,1081.318427
93.981699,74,1082.491658
94.438634,69,1083.63492
94.144031,77,1084.855034
93.748532,72,1086.550102
93.893722,71,1087.682126
94.465604,81,1088.921556
94.15209,74,1090.55093
94.168039,77,1091.728997
94.309894,78,1093.44187
94.116144,77,1094.605328
94.148503,70,1095.698339
93.505519,76,1097.380021
93.972594,77,1098.518779
94.110256,74,1099.620321
93.714384,72,1101.238674
93.656723,75,1102.339857
94.075062,76,1103.397501
95.479766,76,1104.979964
93.912967,74,1106.036634
94.06854,74,1107.364403
93.747349,86,1109.015781
93.671284,78,1110.136465
94.126119,73,1111.840959
93.733481,74,1113.002889
93.393298,111,1114.711142
93.9907,77,1116.472519
94.060861,81,1117.686913
92.14598,135,1120.612451
93.955269,79,1121.726651
94.220811,78,1123.354151
92.097389,160,1126.170073
93.680928,72,1127.279408
93.751852,74,1128.409609
92.547534,97,1130.248649
93.700216,77,1131.885211
94.549773,80,1133.021943
94.10134,71,1134.128142
94.354006,74,1135.772568
94.574568,84,1136.92864
93.519272,80,1138.675349
95.17182,80,1139.899443
93.699317,75,1141.624651
93.962515,72,1142.824539
94.28199,69,1143.954271
93.147214,83,1145.620002
94.384689,77,1146.743191
93.968273,71,1147.848564
93.655094,82,1149.513572
94.582604,74,1150.714811
93.613604,82,1152.487164
93.735623,77,1153.599544
94.227141,81,1155.427468
93.753754,71,1156.571398
93.444448,103,1158.281487
93.448178,81,1159.99628
94.526274,75,1161.171537
93.780598,70,1162.250241
93.633417,94,1164.137885
93.584234,101,1165.738456
93.75819,75,1166.839761
93.94562,72,1168.439164
94.139504,70,1169.530157
94.03027,85,1171.15204
93.485134,82,1172.272354
94.163653,71,1173.442824
94.096914,76,1175.256863
94.780135,73,1176.461113
94.026513,79,1177.596168
93.913444,73,1179.32748
93.862094,77,1180.397839
88.018035,171,1183.914893
93.686987,84,1185.088258
94.553824,80,1186.735647
93.288474,84,1187.831188
95.006749,78,1189.73996
93.752296,71,1190.880843
94.175029,92,1192.746853
94.445963,74,1193.868487
93.663899,84,1195.605103
94.213971,71,1196.73799
94.333613,72,1197.925453
93.858227,84,1199.775757
94.190904,72,1200.886388
92.256258,111,1203.101645
93.779498,74,1204.253465
93.83465,73,1205.410512
94.14706,73,1206.586733
93.64551,76,1208.240863
94.098299,78,1209.351495
94.235544,85,1210.984989
94.087634,74,1212.32676
94.834257,75,1214.102596
94.332846,73,1215.210741
93.384828,84,1216.311243
94.243362,76,1218.009965
92.898478,118,1220.281411
93.945253,76,1221.443922
94.694001,74,1222.52701
93.427069,76,1224.12816
94.113064,72,1225.344656
93.463482,114,1227.094181
93.415264,73,1228.757227
93.381148,83,1229.940399
94.687185,74,1231.541152
93.584299,73,1232.688659
94.375862,91,1234.348727
93.027911,87,1235.515501
94.642715,80,1237.16855
94.628506,87,1238.821038
93.539929,78,1239.921526
94.942469,79,1241.638549
93.975392,83,1242.903685
94.16593,76,1244.554617
94.218408,83,1245.642201
94.218878,76,1246.785103
93.856019,77,1248.407647
94.177355,78,1249.501121
94.501519,74,1251.31378
90.3698,152,1253.608391
93.591509,82,1255.273546
93.191113,86,1256.968235
94.044742,73,1258.183007
93.980705,80,1259.252118
92.80236,101,1261.416701
94.492033,75,1262.548877
94.801607,78,1263.645136
