#{"t_start": 1615652570.2472315, "env_id": "BipedalWalker-v3"}
r,l,t
318.119174,713,6269.976434
320.874828,698,6279.515157
319.457427,711,6288.524258
320.780398,710,6297.73429
321.215247,713,6306.746678
79.489768,436,6312.642487
318.710084,722,6321.956536
319.152949,711,6330.948619
319.937093,719,6340.85478
320.241663,723,6350.420285
319.931357,706,6360.113579
320.60327,736,6369.234374
318.938629,724,6379.046328
319.310447,728,6388.200822
321.962099,706,6393.771912
321.173158,709,6394.655448
321.668519,705,6395.431652
321.940793,713,6396.213813
322.352889,712,6397.032568
322.209739,704,6397.855355
322.492796,713,6398.709425
321.622457,707,6399.605175
321.49473,714,6400.446096
322.21422,712,6401.3445
322.440723,711,6402.148805
322.405597,712,6402.97523
322.113993,708,6403.771855
321.584981,716,6404.579915
321.882549,717,6405.386045
321.879313,708,6406.185164
321.044516,719,6406.984241
321.888145,709,6407.806082
322.497265,711,6408.602731
321.944284,715,6409.389121
321.309386,722,6410.178354
321.563623,720,6410.969376
321.931251,717,6411.824938
321.739615,716,6412.643775
322.71972,710,6413.465125
321.297029,711,6414.261839
321.900581,723,6415.11554
320.842107,714,6415.938218
322.525682,708,6416.704098
321.831774,715,6417.480419
320.752538,721,6418.304417
322.013795,708,6419.1283
322.399085,716,6419.978056
321.850748,718,6420.796024
321.192269,720,6421.592164
320.986296,721,6422.39464
322.040108,709,6423.174081
321.757088,710,6423.982782
321.17411,715,6424.77203
322.205506,708,6425.634959
322.653395,710,6426.445186
322.467073,709,6427.241275
322.25742,706,6428.025544
322.299942,706,6428.796287
321.399054,714,6429.584218
322.532819,718,6430.406556
322.087439,713,6431.21495
323.350098,708,6432.024178
322.324317,711,6432.831498
322.502522,708,6433.702293
321.663999,717,6434.585784
321.664953,710,6435.493096
322.241687,706,6436.305804
322.549201,707,6437.080997
321.865886,714,6437.973234
321.178316,717,6438.794205
321.936959,712,6439.590437
321.670219,709,6440.489954
321.586907,709,6441.378452
322.107931,711,6442.282172
322.447106,715,6443.13097
322.048951,710,6443.953649
321.708156,706,6444.832715
321.747003,721,6445.643709
322.060863,713,6446.448698
321.531757,722,6447.268415
321.243155,708,6448.086879
322.749937,712,6448.881144
322.126955,708,6449.659615
322.772053,713,6450.471612
321.519762,721,6451.266523
322.063137,713,6452.08143
322.588504,716,6452.886399
321.703358,715,6453.672453
322.438794,721,6454.479869
321.895245,715,6455.296671
321.223724,714,6456.112947
321.681478,716,6456.945432
321.900833,720,6457.768807
321.950998,710,6458.542402
322.03204,713,6459.322961
322.108784,709,6460.102237
321.669549,717,6460.907545
321.911031,715,6461.712695
322.510283,711,6462.552378
322.133578,710,6463.398053
322.066663,713,6464.23204
322.089354,709,6465.096524
322.504327,704,6465.886336
321.647564,711,6466.740942
321.860469,717,6467.562298
320.894042,714,6468.352253
322.019361,709,6469.147615
322.193985,706,6469.925398
321.617468,713,6470.692065
321.817658,712,6471.566629
322.776207,705,6472.350572
322.573598,707,6473.224306
322.117554,706,6474.068961
322.404742,714,6474.906216
