#{"t_start": 1615665858.4029202, "env_id": "BipedalWalker-v3"}
r,l,t
321.537298,716,3521.358773
321.633825,711,3530.825546
-75.886977,1600,3552.54542
147.393422,577,3560.207012
322.055451,731,3570.25194
321.555104,737,3579.697583
-152.65432,638,3588.122773
-83.236529,1600,3609.342501
-84.792813,1600,3631.02549
-97.229372,1600,3652.140417
-187.109337,1439,3672.131097
-74.303066,1600,3694.09525
-67.224906,1600,3715.635616
-133.72442,248,3719.209838
-85.196473,1600,3740.554601
-72.446925,1600,3761.862531
-93.780923,1600,3783.104017
-73.996696,1600,3804.248819
-92.747755,1600,3825.392699
-74.759701,1600,3846.648617
294.120206,1306,3863.423759
-82.133093,1600,3885.107457
-182.879915,1416,3903.98532
-39.832535,1600,3925.763848
-130.738457,286,3930.200912
-67.261513,1600,3951.533259
264.45522,1600,3973.126605
-175.632448,1040,3986.526999
-82.596369,1600,4007.267339
-82.364123,1600,4029.080994
-78.024336,1600,4049.572807
-155.029257,1253,4065.999116
-159.559951,723,4076.052453
-120.78225,63,4076.860511
-64.215075,1600,4098.084263
-80.345822,1600,4119.340918
304.172043,1092,4133.695906
-81.302562,1600,4154.922684
-85.430198,1600,4175.659697
-72.621883,1600,4197.634678
-76.107485,1600,4218.948981
-165.244389,1001,4232.343144
-123.399777,130,4233.990894
-132.258195,136,4236.415607
-202.849024,1520,4255.856587
-76.95802,1600,4277.787409
-143.342337,377,4282.716818
-81.273982,1600,4303.725487
-73.750805,1600,4325.771516
-165.009799,1240,4343.065585
-84.685695,1600,4365.139006
-182.970451,1121,4379.166138
-148.718531,597,4386.865017
-69.984823,1600,4409.175175
-78.342869,1600,4430.478749
-66.46014,1600,4452.09949
-70.908525,1600,4473.789951
-142.119682,482,4481.16786
-147.020178,997,4495.605336
-125.183731,109,4496.510671
-168.259587,678,4506.110243
-76.439719,1600,4527.971524
-130.013686,133,4529.999478
-180.168244,1465,4550.210817
-74.139006,1600,4571.597533
319.924428,783,4581.358238
-66.79011,1600,4602.399568
-140.902609,717,4611.647984
-147.590663,601,4620.615114
300.676768,1072,4634.443487
-176.105041,1272,4651.516116
288.413554,1398,4670.879259
-82.857657,1600,4692.0867
-149.943667,566,4700.37544
-153.034035,457,4706.610279
-178.483046,1410,4725.387908
145.965256,1600,4747.847072
-166.527648,931,4760.482065
-152.778325,702,4769.890504
-64.339688,1600,4791.44826
-82.223154,1600,4812.048111
-170.0068,908,4824.121849
-123.715137,66,4824.954363
-72.257688,1600,4846.227496
-191.924103,1592,4866.989017
-153.595792,726,4876.806874
-85.165056,1600,4897.54588
-151.404568,623,4905.962458
-78.238409,1600,4927.358887
-124.433665,254,4930.77336
-196.137486,1321,4947.677444
-130.781902,93,4949.41484
-144.053112,528,4956.183815
-32.878839,1600,4977.527669
306.614931,1069,4991.834716
293.96368,1345,5009.442884
311.449009,880,5021.411608
-58.081956,233,5023.916018
-76.2594,1600,5045.264729
-74.928593,1600,5066.291656
-148.447373,826,5077.11782
313.186887,867,5088.647439
305.565808,1062,5102.507624
318.50391,793,5113.517526
-134.28139,181,5115.36308
-79.081938,1600,5136.830467
-144.186782,1344,5154.626084
-65.006943,1600,5176.425247
90.840036,1600,5197.214582
-70.332801,1600,5218.709812
-75.516662,1600,5240.396472
109.217816,1600,5261.792945
321.711512,708,5271.864832
-71.736043,1600,5294.340192
322.374462,713,5303.713047
322.307218,719,5312.93912
322.430639,715,5322.430566
321.421377,715,5331.734157
321.674409,715,5341.310505
321.585815,709,5351.365298
321.66356,706,5360.733492
321.435699,709,5370.041441
321.840701,713,5379.425236
322.764762,712,5389.349916
322.198857,707,5399.026208
321.689297,713,5408.246007
321.797799,724,5417.696662
320.414639,723,5428.205133
322.587387,709,5437.295793
321.545085,711,5446.334508
322.901511,711,5456.246459
321.694235,719,5466.695722
321.485286,711,5476.093333
322.089169,708,5485.379145
321.812564,718,5495.164199
321.993568,709,5504.477395
322.743689,710,5514.404779
322.559135,713,5523.525391
321.514853,716,5532.70614
322.157279,706,5542.057425
321.353458,723,5551.278679
321.252461,712,5561.647957
322.357119,717,5570.959544
322.086391,722,5580.580392
321.364506,718,5590.583217
321.183732,716,5600.050962
321.325525,727,5610.267735
322.173046,712,5619.703338
321.961898,715,5629.124245
322.176334,715,5639.290631
321.565462,711,5648.86819
321.809111,708,5658.314199
322.0919,724,5668.456133
322.949216,713,5677.80201
322.650483,708,5687.681289
321.706931,712,5696.953024
-96.100892,82,5697.800146
322.219882,719,5707.730418
-79.734936,1080,5721.822977
-107.65594,75,5723.713511
-103.415716,84,5724.561452
-108.358489,73,5725.561145
-94.682858,68,5726.369042
-104.772407,85,5727.236842
-105.662425,80,5728.989289
-98.1574,64,5729.836091
-105.34035,84,5730.683171
-106.27502,88,5731.527478
-103.541928,89,5733.110553
-103.018551,91,5733.962153
-103.774415,85,5735.551806
-102.33626,95,5736.445934
-101.773996,99,5738.135147
-104.388399,93,5739.072866
-93.802217,88,5739.932427
-90.538934,95,5741.5935
-94.866807,87,5742.48595
-51.449599,189,5745.039958
321.88089,734,5755.590154
321.315762,729,5765.077838
322.761454,719,5775.016009
322.471633,720,5785.417575
323.052227,714,5794.573276
321.863602,721,5804.349836
322.412804,713,5814.3886
321.762482,721,5823.831474
321.935428,708,5832.967341
322.455685,717,5843.028804
322.845863,716,5852.573102
321.963796,716,5861.972424
323.020544,708,5871.435942
322.089696,706,5880.765239
322.70903,708,5890.707274
321.816702,707,5900.552419
320.916262,717,5910.099375
322.673772,705,5919.36246
322.434193,717,5929.449008
321.534962,713,5939.088184
322.428856,724,5948.849967
322.513624,719,5958.020045
321.883891,717,5968.400732
321.442529,714,5977.696588
319.877516,715,5987.906001
321.195056,716,5997.126983
321.821917,717,6006.53863
322.412394,711,6016.19892
29.957304,359,6021.636903
322.011806,714,6031.147955
322.03475,718,6040.659247
322.282286,710,6049.91497
321.883501,716,6060.312661
321.233055,715,6069.861147
322.06499,720,6079.120458
321.438341,728,6088.423774
321.762401,719,6099.027044
322.291218,712,6108.108241
320.725618,710,6117.352517
321.737677,713,6126.711362
322.623331,713,6136.230821
321.56528,720,6146.053487
321.746864,707,6155.908279
320.998215,718,6165.947966
321.615649,713,6175.380137
321.543699,713,6184.811582
322.261128,724,6194.749729
322.256369,718,6205.164959
321.871091,704,6214.341056
322.488073,711,6223.917659
42.637464,370,6228.537493
321.732603,717,6238.879561
321.030866,720,6248.22685
323.029081,715,6257.349616
322.038472,719,6267.036667
322.723768,724,6277.543095
321.647526,720,6287.703565
322.633623,717,6297.334629
322.751392,713,6306.849794
322.147105,718,6316.818458
322.784432,712,6327.362524
322.373503,711,6336.861538
322.227223,718,6346.491715
322.502062,714,6355.907602
322.256542,748,6366.868456
321.981135,721,6376.224045
323.258662,713,6385.36823
321.909331,720,6394.950114
321.445025,724,6405.309783
8.236212,307,6409.026126
321.618102,726,6419.128595
322.737602,715,6428.701867
-83.913962,1600,6450.868581
-167.61803,933,6463.580011
-121.829695,72,6464.467427
-135.91193,362,6468.946178
-138.028655,768,6479.03447
-126.4691,140,6481.546652
-141.424273,532,6488.586789
228.146418,1600,6510.937218
-89.876179,1600,6532.834695
-156.896137,956,6545.713211
-142.713137,332,6549.741446
-79.947193,1600,6571.500761
-115.991529,449,6577.344734
-125.904352,106,6579.039914
-159.79687,844,6590.164942
